fpr,tpr,model,auc
0.0,0.0,RandomForest,0.7677248677248677
0.0,0.018518518518518517,RandomForest,0.7677248677248677
0.0,0.09259259259259259,RandomForest,0.7677248677248677
0.014285714285714285,0.09259259259259259,RandomForest,0.7677248677248677
0.014285714285714285,0.12962962962962962,RandomForest,0.7677248677248677
0.02857142857142857,0.12962962962962962,RandomForest,0.7677248677248677
0.02857142857142857,0.35185185185185186,RandomForest,0.7677248677248677
0.04285714285714286,0.35185185185185186,RandomForest,0.7677248677248677
0.04285714285714286,0.3888888888888889,RandomForest,0.7677248677248677
0.05714285714285714,0.3888888888888889,RandomForest,0.7677248677248677
0.05714285714285714,0.4074074074074074,RandomForest,0.7677248677248677
0.07142857142857142,0.4074074074074074,RandomForest,0.7677248677248677
0.07142857142857142,0.4444444444444444,RandomForest,0.7677248677248677
0.1,0.4444444444444444,RandomForest,0.7677248677248677
0.1,0.5,RandomForest,0.7677248677248677
0.11428571428571428,0.5,RandomForest,0.7677248677248677
0.11428571428571428,0.5370370370370371,RandomForest,0.7677248677248677
0.14285714285714285,0.5370370370370371,RandomForest,0.7677248677248677
0.14285714285714285,0.5740740740740741,RandomForest,0.7677248677248677
0.15714285714285714,0.5740740740740741,RandomForest,0.7677248677248677
0.15714285714285714,0.6111111111111112,RandomForest,0.7677248677248677
0.17142857142857143,0.6111111111111112,RandomForest,0.7677248677248677
0.17142857142857143,0.6481481481481481,RandomForest,0.7677248677248677
0.22857142857142856,0.6481481481481481,RandomForest,0.7677248677248677
0.22857142857142856,0.6666666666666666,RandomForest,0.7677248677248677
0.24285714285714285,0.6666666666666666,RandomForest,0.7677248677248677
0.24285714285714285,0.6851851851851852,RandomForest,0.7677248677248677
0.32857142857142857,0.6851851851851852,RandomForest,0.7677248677248677
0.32857142857142857,0.7222222222222222,RandomForest,0.7677248677248677
0.34285714285714286,0.7222222222222222,RandomForest,0.7677248677248677
0.34285714285714286,0.7407407407407407,RandomForest,0.7677248677248677
0.4,0.7407407407407407,RandomForest,0.7677248677248677
0.4,0.7592592592592593,RandomForest,0.7677248677248677
0.44285714285714284,0.7592592592592593,RandomForest,0.7677248677248677
0.44285714285714284,0.7777777777777778,RandomForest,0.7677248677248677
0.4857142857142857,0.7777777777777778,RandomForest,0.7677248677248677
0.4857142857142857,0.8148148148148148,RandomForest,0.7677248677248677
0.5285714285714286,0.8148148148148148,RandomForest,0.7677248677248677
0.5285714285714286,0.8333333333333334,RandomForest,0.7677248677248677
0.6428571428571429,0.8333333333333334,RandomForest,0.7677248677248677
0.6428571428571429,0.8888888888888888,RandomForest,0.7677248677248677
0.6571428571428571,0.8888888888888888,RandomForest,0.7677248677248677
0.6571428571428571,0.9074074074074074,RandomForest,0.7677248677248677
0.7714285714285715,0.9074074074074074,RandomForest,0.7677248677248677
0.7714285714285715,0.9259259259259259,RandomForest,0.7677248677248677
0.7857142857142857,0.9259259259259259,RandomForest,0.7677248677248677
0.7857142857142857,0.9629629629629629,RandomForest,0.7677248677248677
0.8,0.9629629629629629,RandomForest,0.7677248677248677
0.8,0.9814814814814815,RandomForest,0.7677248677248677
0.8714285714285714,0.9814814814814815,RandomForest,0.7677248677248677
0.8714285714285714,1.0,RandomForest,0.7677248677248677
1.0,1.0,RandomForest,0.7677248677248677
0.0,0.0,XGBoost,0.8055555555555556
0.0,0.018518518518518517,XGBoost,0.8055555555555556
0.0,0.12962962962962962,XGBoost,0.8055555555555556
0.014285714285714285,0.12962962962962962,XGBoost,0.8055555555555556
0.014285714285714285,0.16666666666666666,XGBoost,0.8055555555555556
0.02857142857142857,0.16666666666666666,XGBoost,0.8055555555555556
0.02857142857142857,0.24074074074074073,XGBoost,0.8055555555555556
0.04285714285714286,0.24074074074074073,XGBoost,0.8055555555555556
0.04285714285714286,0.37037037037037035,XGBoost,0.8055555555555556
0.05714285714285714,0.37037037037037035,XGBoost,0.8055555555555556
0.05714285714285714,0.4074074074074074,XGBoost,0.8055555555555556
0.07142857142857142,0.4074074074074074,XGBoost,0.8055555555555556
0.07142857142857142,0.4444444444444444,XGBoost,0.8055555555555556
0.12857142857142856,0.4444444444444444,XGBoost,0.8055555555555556
0.12857142857142856,0.46296296296296297,XGBoost,0.8055555555555556
0.14285714285714285,0.46296296296296297,XGBoost,0.8055555555555556
0.14285714285714285,0.48148148148148145,XGBoost,0.8055555555555556
0.18571428571428572,0.48148148148148145,XGBoost,0.8055555555555556
0.18571428571428572,0.5555555555555556,XGBoost,0.8055555555555556
0.2,0.5555555555555556,XGBoost,0.8055555555555556
0.2,0.6296296296296297,XGBoost,0.8055555555555556
0.21428571428571427,0.6296296296296297,XGBoost,0.8055555555555556
0.21428571428571427,0.7222222222222222,XGBoost,0.8055555555555556
0.22857142857142856,0.7222222222222222,XGBoost,0.8055555555555556
0.22857142857142856,0.7407407407407407,XGBoost,0.8055555555555556
0.24285714285714285,0.7407407407407407,XGBoost,0.8055555555555556
0.24285714285714285,0.7777777777777778,XGBoost,0.8055555555555556
0.2571428571428571,0.7777777777777778,XGBoost,0.8055555555555556
0.2571428571428571,0.7962962962962963,XGBoost,0.8055555555555556
0.2857142857142857,0.7962962962962963,XGBoost,0.8055555555555556
0.2857142857142857,0.8148148148148148,XGBoost,0.8055555555555556
0.5,0.8148148148148148,XGBoost,0.8055555555555556
0.5,0.8333333333333334,XGBoost,0.8055555555555556
0.5285714285714286,0.8333333333333334,XGBoost,0.8055555555555556
0.5285714285714286,0.8518518518518519,XGBoost,0.8055555555555556
0.5428571428571428,0.8518518518518519,XGBoost,0.8055555555555556
0.5428571428571428,0.9259259259259259,XGBoost,0.8055555555555556
0.5857142857142857,0.9259259259259259,XGBoost,0.8055555555555556
0.5857142857142857,0.9444444444444444,XGBoost,0.8055555555555556
0.6,0.9444444444444444,XGBoost,0.8055555555555556
0.6,0.9629629629629629,XGBoost,0.8055555555555556
0.6142857142857143,0.9629629629629629,XGBoost,0.8055555555555556
0.6142857142857143,0.9814814814814815,XGBoost,0.8055555555555556
0.6571428571428571,0.9814814814814815,XGBoost,0.8055555555555556
0.6571428571428571,1.0,XGBoost,0.8055555555555556
1.0,1.0,XGBoost,0.8055555555555556
0.0,0.0,Hypothesis,0.6287231586238745
0.0,0.01639344262295082,Hypothesis,0.6287231586238745
0.014084507042253521,0.01639344262295082,Hypothesis,0.6287231586238745
0.014084507042253521,0.11475409836065574,Hypothesis,0.6287231586238745
0.04225352112676056,0.11475409836065574,Hypothesis,0.6287231586238745
0.04225352112676056,0.16393442622950818,Hypothesis,0.6287231586238745
0.056338028169014086,0.16393442622950818,Hypothesis,0.6287231586238745
0.056338028169014086,0.18032786885245902,Hypothesis,0.6287231586238745
0.07042253521126761,0.18032786885245902,Hypothesis,0.6287231586238745
0.07042253521126761,0.21311475409836064,Hypothesis,0.6287231586238745
0.11267605633802817,0.21311475409836064,Hypothesis,0.6287231586238745
0.11267605633802817,0.26229508196721313,Hypothesis,0.6287231586238745
0.1267605633802817,0.26229508196721313,Hypothesis,0.6287231586238745
0.1267605633802817,0.2786885245901639,Hypothesis,0.6287231586238745
0.15492957746478872,0.2786885245901639,Hypothesis,0.6287231586238745
0.15492957746478872,0.3114754098360656,Hypothesis,0.6287231586238745
0.16901408450704225,0.3114754098360656,Hypothesis,0.6287231586238745
0.16901408450704225,0.32786885245901637,Hypothesis,0.6287231586238745
0.19718309859154928,0.32786885245901637,Hypothesis,0.6287231586238745
0.19718309859154928,0.36065573770491804,Hypothesis,0.6287231586238745
0.2112676056338028,0.36065573770491804,Hypothesis,0.6287231586238745
0.2112676056338028,0.39344262295081966,Hypothesis,0.6287231586238745
0.22535211267605634,0.39344262295081966,Hypothesis,0.6287231586238745
0.22535211267605634,0.4098360655737705,Hypothesis,0.6287231586238745
0.23943661971830985,0.4098360655737705,Hypothesis,0.6287231586238745
0.23943661971830985,0.45901639344262296,Hypothesis,0.6287231586238745
0.323943661971831,0.45901639344262296,Hypothesis,0.6287231586238745
0.323943661971831,0.5081967213114754,Hypothesis,0.6287231586238745
0.3380281690140845,0.5081967213114754,Hypothesis,0.6287231586238745
0.3380281690140845,0.5245901639344263,Hypothesis,0.6287231586238745
0.352112676056338,0.5245901639344263,Hypothesis,0.6287231586238745
0.352112676056338,0.5409836065573771,Hypothesis,0.6287231586238745
0.4084507042253521,0.5409836065573771,Hypothesis,0.6287231586238745
0.4084507042253521,0.5573770491803278,Hypothesis,0.6287231586238745
0.4788732394366197,0.5573770491803278,Hypothesis,0.6287231586238745
0.4788732394366197,0.5737704918032787,Hypothesis,0.6287231586238745
0.49295774647887325,0.5737704918032787,Hypothesis,0.6287231586238745
0.49295774647887325,0.6065573770491803,Hypothesis,0.6287231586238745
0.5211267605633803,0.6065573770491803,Hypothesis,0.6287231586238745
0.5211267605633803,0.6721311475409836,Hypothesis,0.6287231586238745
0.5352112676056338,0.6721311475409836,Hypothesis,0.6287231586238745
0.5352112676056338,0.6885245901639344,Hypothesis,0.6287231586238745
0.5633802816901409,0.6885245901639344,Hypothesis,0.6287231586238745
0.5633802816901409,0.7213114754098361,Hypothesis,0.6287231586238745
0.5915492957746479,0.7213114754098361,Hypothesis,0.6287231586238745
